,Class
PT_Por_Rec_1_2015-09-01,2
PT_Por_Rec_1_2016-10-01,2
RS_Kol_Sla_1_2021-09-14,3
RS_Mac_Zaj_1_2020-09-13,3
RS_Pod_Sta_1_2019-09-19,3
RS_Sre_Sla_1_2016-06-18,1
RS_Sre_Sla_1_2016-09-09,1
RS_Sre_Sla_1_2017-06-28,0
RS_Sre_Sla_1_2017-09-28,6
RS_Sre_Sla_1_2019-06-14,3
RS_Sre_Sta_1_2019-07-21,3
RS_Sre_Sta_1_2020-07-02,3
RS_Sre_Sta_1_2020-09-14,3
RS_Sre_Sta_1_2021-06-22,3
RS_Zaj_Kal_1_2016-06-30,1
RS_Zaj_Kal_1_2016-09-13,1
RU_Cri_Yal_1_2014-06-20,3
RU_Cri_Yal_1_2014-08-27,7
RU_Cri_Yal_1_2015-06-24,3
RU_Cri_Yal_1_2015-08-24,1
RU_Cri_Yal_1_2016-08-20,1
RU_Nov_Val_1_2014-08-17,7
RU_Nov_Val_1_2015-08-23,7
RU_Nov_Val_1_2015-10-05,7
RU_Nov_Val_1_2016-08-23,1
RU_Nov_Val_1_2016-09-29,1
RU_Nov_Val_1_2016-10-24,1
RU_Nov_Val_1_2017-08-25,9
RU_Nov_Val_1_2017-10-01,7
RU_Nov_Val_1_2018-08-28,7
RU_Tul_Tul_1_2015-09-20,7
RU_Vla_Ale_1_2015-09-15,3
RU_Vla_Ale_1_2016-10-15,1
RU_Vla_Ale_1_2017-08-15,7
RU_Vla_Ale_1_2018-09-09,7
RU_Vla_Ale_1_2018-10-13,7
SE_Ska_Lun_1_2014-07-31,6
SE_Ska_Lun_1_2015-08-08,6
UA_Che_Dmy_1_2021-07-17,3
UA_Che_Kan_1_2016-07-08,1
UA_Che_Pyr_1_2016-08-23,1
UA_Che_Uma_1_2014-10-01,3
UA_Che_Uma_1_2015-09-26,3
UA_Che_Uma_1_2016-09-11,1
UA_Che_Uma_1_2016-09-17,1
UA_Che_Uma_1_2017-09-16,3
UA_Che_Uma_1_2017-10-07,3
UA_Che_Uma_1_2018-09-21,3
UA_Che_Uma_1_2019-08-13,3
UA_Che_Uma_1_2019-10-14,7
UA_Che_Uma_1_2019-10-20,3
UA_Che_Uma_1_2020-08-19,3
UA_Che_Uma_1_2020-09-27,3
UA_Che_Uma_1_2021-09-19,3
UA_Che_Var_1_2014-08-18,7
UA_Che_Var_1_2015-08-25,7
UA_Che_Var_1_2016-08-26,1
UA_Che_Var_1_2018-09-03,7
UA_Che_Var_1_2019-09-14,7
UA_Che_Var_1_2020-10-11,7
UA_Che_Var_1_2021-09-26,7
UA_Don_Mar_1_2021-08-23,7
UA_Don_Mar_2_2021-08-23,3
UA_Don_Roz_1_2021-08-12,7
UA_Kha_Kha_1_2014-07-26,7
UA_Kha_Kha_1_2014-09-14,7
UA_Kha_Kha_1_2015-08-20,7
UA_Kha_Kha_1_2016-08-18,1
UA_Kha_Kha_1_2018-09-24,7
UA_Kha_Kha_1_2021-08-18,7
UA_Kie_Cho_1_2014-09-13,7
UA_Kie_Cho_1_2015-06-15,3
UA_Kie_Cho_1_2015-07-07,1
UA_Kie_Cho_1_2015-08-20,7
UA_Kie_Cho_1_2015-08-26,1
UA_Kie_Cho_1_2016-09-04,1
UA_Kie_Cho_1_2016-09-05,1
UA_Kie_Cho_1_2019-09-06,7
UA_Kie_Cho_2_2014-09-13,7
UA_Kie_Cho_2_2015-08-26,1
UA_Kie_Cho_2_2016-09-04,1
UA_Kie_Cho_3_2014-09-13,7
UA_Kie_Cho_3_2015-08-26,1
UA_Kie_Cho_4_2014-09-13,7
UA_Kie_Cho_4_2015-08-26,7
UA_Kie_Cho_5_2015-08-26,1
UA_Kie_Cho_6_2015-08-26,7
UA_Kie_Hle_1_2021-08-29,7
UA_Kie_Kho_1_2021-08-09,7
UA_Kie_Kop_1_2019-09-06,7
UA_Kie_Kyi_1_2014-08-09,1
UA_Kie_Kyi_1_2014-09-08,7
UA_Kie_Kyi_1_2014-10-11,3
UA_Kie_Kyi_1_2015-08-10,1
UA_Kie_Kyi_1_2016-08-06,1
UA_Kie_Kyi_1_2016-09-04,1
UA_Kie_Kyi_1_2016-10-03,1
UA_Kie_Kyi_1_2020-09-29,7
UA_Kie_Pri_1_2016-09-03,1
UA_Kie_Vys_1_2017-08-11,7
UA_Kie_Vys_1_2017-09-03,7
UA_Kie_Vys_1_2017-09-26,7
UA_Kie_Vys_1_2017-10-19,7
UA_Kie_Vys_1_2018-07-25,7
UA_Kie_Vys_1_2018-08-29,3
UA_Kie_Vys_1_2018-09-27,7
UA_Kie_Vys_1_2019-08-12,7
UA_Kie_Vys_1_2019-09-02,3
UA_Kie_Vys_1_2020-08-18,7
UA_Kie_Vys_1_2020-10-15,7
UA_Kie_Vys_1_2021-08-01,7
UA_Kie_Vys_1_2021-09-19,7
UA_Lvi_Dro_1_2014-08-24,3
UA_Lvi_Dro_1_2015-09-18,3
UA_Lvi_Dro_1_2016-09-12,1
UA_Myk_Ryb_1_2021-07-22,7
UA_Ode_Ode_1_2013-05-16,7
UA_Ode_Ode_1_2013-10-15,7
UA_Ode_Ode_1_2014-07-03,3
UA_Ode_Ode_1_2014-07-22,3
UA_Ode_Ode_1_2014-08-29,3
UA_Ode_Ode_1_2014-10-10,7
UA_Ode_Ode_1_2015-06-30,3
UA_Ode_Ode_1_2015-07-26,1
UA_Ode_Ode_1_2015-08-27,3
UA_Ode_Ode_1_2015-09-26,7
UA_Ode_Ode_1_2016-08-20,1
UA_Ode_Ode_1_2016-09-15,1
UA_Ode_Ode_1_2017-08-12,3
UA_Ode_Ode_1_2017-09-23,7
UA_Ode_Ode_1_2018-06-30,3
UA_Ode_Ode_1_2018-08-15,7
UA_Ode_Ode_1_2018-09-15,7
UA_Ode_Ode_1_2019-09-06,7
UA_Ode_Ode_1_2020-08-28,3
UA_Ode_Ode_1_2020-09-26,3
UA_Ode_Ode_1_2020-09-28,3
UA_Ode_Ode_1_2020-10-30,7
UA_Ode_Ode_1_2021-11-11,3
UA_Pol_Pyr_1_2014-08-20,1
UA_Pol_Pyr_1_2015-08-26,7
UA_Pol_Pyr_1_2017-08-22,7
UA_Pol_Pyr_1_2017-09-03,7
UA_Pol_Pyr_1_2019-08-25,7
UA_Pol_Pyr_1_2019-09-06,7
UA_Pol_Pyr_1_2021-07-29,7
UA_Vol_Lut_1_2019-08-28,7
UA_Zap_Zap_1_2019-06-17,3
