,Class
ES_Bal_Tom_1_2021-10-07,4
ES_Bar_Bar_1_2012-07-13,14
ES_Bar_Bar_1_2012-10-16,1
ES_Ciu_Man_1_2020-08-10,4
ES_Ciu_Tom_1_2015-09-17,4
ES_Ciu_Tom_1_2015-10-08,4
ES_Ciu_Tom_1_2016-09-02,4
ES_Ciu_Tom_1_2016-10-11,4
ES_Ciu_Tom_1_2017-10-04,4
ES_Ciu_Tom_1_2018-10-03,4
ES_Ciu_Tom_1_2020-09-30,4
ES_Gra_Ben_1_2016-10-08,3
ES_Gra_Ben_1_2017-10-05,4
ES_Gra_Cor_1_2015-08-08,4
ES_Gra_Cor_1_2017-07-28,4
ES_Gra_Gua_1_2015-09-12,4
ES_Gra_Pur_1_2016-08-30,4
ES_Ler_Gim_1_2014-08-13,4
ES_Ler_Gim_1_2014-10-20,4
ES_Ler_Gim_1_2015-06-28,4
ES_Ler_Gim_1_2015-10-22,4
ES_Ler_Gim_1_2016-08-25,4
ES_Ler_Gim_1_2016-10-21,4
ES_Ler_Gim_1_2017-07-24,4
ES_Ler_Gim_1_2017-10-14,4
ES_Ler_Gim_1_2018-08-25,4
ES_Ler_Gim_1_2018-10-26,4
ES_Ler_Gim_1_2019-08-25,4
ES_Ler_Gim_1_2020-10-26,4
ES_Ler_Pin_1_2018-10-10,4
ES_Mad_Yep_1_2018-11-06,4
ES_Tol_Vil_1_2018-10-07,4
FI_Cen_Jyv_1_2019-09-19,16
FI_Cen_Ves_1_2014-07-26,16
FI_Cen_Ves_1_2016-07-29,16
FI_Pir_Aka_1_2014-07-25,16
FI_Pir_Aka_1_2014-08-27,16
FI_Pir_Aka_1_2015-07-21,16
FI_Pir_Aka_1_2015-10-01,16
FI_Pir_Aka_1_2016-07-24,16
FI_Pir_Aka_1_2016-09-17,16
FI_Pir_Aka_1_2017-07-20,16
FI_Pir_Aka_1_2017-09-25,18
FI_Pir_Aka_1_2018-07-17,16
FI_Pir_Aka_1_2018-09-20,16
FI_Pir_Aka_1_2019-07-19,8
FI_Pir_Aka_1_2019-08-25,8
FI_Pir_Aka_1_2020-06-28,16
FI_Pir_Aka_1_2020-10-04,16
FI_Pir_Aka_1_2021-07-07,16
FI_Pir_Aka_1_2021-09-17,16
FR_Ain_Civ_1_2019-06-15,3
FR_Ain_Ver_1_2017-09-21,1
FR_Cot_Mar_1_2020-08-02,15
FR_Cot_Vie_1_2019-10-19,15
FR_Cot_Vie_1_2020-08-03,15
FR_Cot_Vie_1_2021-08-11,15
FR_Dro_Got_1_2014-07-08,3
FR_Dro_Got_1_2015-05-21,3
FR_Dro_Got_1_2015-09-09,3
FR_Dro_Got_1_2015-10-13,3
FR_Dro_Got_1_2016-06-13,3
FR_Ess_Vil_1_2014-08-18,3
FR_Ess_Vil_1_2014-10-27,3
FR_Ess_Vil_1_2015-08-10,3
FR_Ess_Vil_1_2015-10-14,3
FR_Ess_Vil_1_2016-08-12,3
FR_Ess_Vil_1_2017-08-24,3
FR_Ess_Vil_1_2017-10-17,3
FR_Eur_Sai_1_2018-09-15,3
FR_Hau_Civ_1_2018-06-16,3
FR_Her_Sai_1_2020-11-12,3
FR_Her_Sai_1_2021-06-10,3
FR_Ill_Sai_1_2017-07-22,3
FR_Ill_Sai_1_2017-09-16,3
FR_Rho_Lyo_1_2010-07-16,3
GB_Eas_Sus_1_2021-07-09,12
GB_Eas_Sus_1_2021-09-01,12
GB_Edi_Edi_1_2021-08-29,18
GB_Edi_Edi_1_2021-10-04,18
GB_Edi_Sou_1_2014-07-14,2
GB_Fif_Dai_1_2015-08-19,18
GB_Fif_Dai_1_2016-08-06,12
GB_Ken_Ken_1_2019-09-16,2
GB_Lei_Lut_1_2014-10-20,12
GB_Lei_Mar_1_2014-10-20,12
GB_Nor_Mar_1_2015-07-07,12
GB_Nor_Mar_1_2016-10-23,12
GB_Nor_Mar_1_2017-10-10,12
GB_Nor_Mar_2_2017-10-10,12
GB_Nor_Mar_3_2017-10-10,12
GB_Per_Dru_1_2020-09-07,18
GB_Per_Mut_1_2021-08-05,18
GB_She_She_1_2014-08-25,3
GB_She_She_1_2015-10-04,10
GR_Kri_Her_1_2020-07-13,1
GR_Kri_Ira_1_2018-10-11,1
GR_Kri_Ira_1_2021-10-20,6
HR_Dub_Her_1_2019-09-19,11
HR_Dub_Kam_1_2017-09-20,11
HU_Pes_Pil_1_2018-07-04,1
HU_Pes_Pil_1_2018-10-30,14
HU_Pes_Pil_1_2020-08-17,14
HU_Sze_Sze_1_2016-08-28,14
IT_Tre_San_1_2015-09-29,3
IT_Tre_San_1_2015-10-10,3
IT_Tre_San_1_2019-10-01,3
IT_Tre_San_1_2021-06-28,1
IT_Tre_San_1_2021-10-01,2
IT_Tre_Tre_1_2016-08-24,7
NL_Gro_Gro_1_2017-10-11,13
NL_Gro_Gro_1_2019-10-09,13
NL_Utr_Hou_1_1998-07-01,2
PL_Lub_Lub_1_2019-09-10,19
PL_Pom_Gda_1_2016-08-01,7
PL_War_Brz_1_2015-09-28,6
PL_War_Brz_1_2016-08-08,6
PL_War_Brz_1_2017-08-20,6
PT_Por_Rec_1_2014-09-26,3
PT_Por_Rec_1_2015-09-01,3
PT_Por_Rec_1_2016-10-01,4
RS_Kol_Sla_1_2021-09-14,14
RS_Mac_Zaj_1_2020-09-13,14
RS_Pod_Sta_1_2019-09-19,14
RS_Sre_Sla_1_2016-06-18,14
RS_Sre_Sla_1_2016-09-09,14
RS_Sre_Sla_1_2017-06-28,2
RS_Sre_Sla_1_2017-09-28,2
RS_Sre_Sla_1_2019-06-14,14
RS_Sre_Sta_1_2019-07-21,14
RS_Sre_Sta_1_2020-07-02,11
RS_Sre_Sta_1_2020-09-14,11
RS_Sre_Sta_1_2021-06-22,14
RS_Zaj_Kal_1_2016-06-30,14
RS_Zaj_Kal_1_2016-09-13,14
RU_Cri_Yal_1_2014-06-20,14
RU_Cri_Yal_1_2014-08-27,6
RU_Cri_Yal_1_2015-06-24,14
RU_Cri_Yal_1_2015-08-24,7
RU_Cri_Yal_1_2016-08-20,7
RU_Nov_Val_1_2014-08-17,6
RU_Nov_Val_1_2015-08-23,6
RU_Nov_Val_1_2015-10-05,6
RU_Nov_Val_1_2016-08-23,7
RU_Nov_Val_1_2016-09-29,7
RU_Nov_Val_1_2016-10-24,7
RU_Nov_Val_1_2017-08-25,6
RU_Nov_Val_1_2017-10-01,6
RU_Nov_Val_1_2018-08-28,6
RU_Tul_Tul_1_2015-09-20,6
RU_Vla_Ale_1_2015-09-15,6
RU_Vla_Ale_1_2016-10-15,7
RU_Vla_Ale_1_2017-08-15,6
RU_Vla_Ale_1_2018-09-09,5
RU_Vla_Ale_1_2018-10-13,6
SE_Ska_Lun_1_2014-07-31,2
SE_Ska_Lun_1_2015-08-08,2
UA_Che_Dmy_1_2021-07-17,14
UA_Che_Kan_1_2016-07-08,7
UA_Che_Pyr_1_2016-08-23,7
UA_Che_Uma_1_2014-10-01,14
UA_Che_Uma_1_2015-09-26,14
UA_Che_Uma_1_2016-09-11,7
UA_Che_Uma_1_2016-09-17,14
UA_Che_Uma_1_2017-09-16,14
UA_Che_Uma_1_2017-10-07,14
UA_Che_Uma_1_2018-09-21,14
UA_Che_Uma_1_2019-08-13,14
UA_Che_Uma_1_2019-10-14,14
UA_Che_Uma_1_2019-10-20,14
UA_Che_Uma_1_2020-08-19,14
UA_Che_Uma_1_2020-09-27,14
UA_Che_Uma_1_2021-09-19,14
UA_Che_Var_1_2014-08-18,6
UA_Che_Var_1_2015-08-25,6
UA_Che_Var_1_2016-08-26,7
UA_Che_Var_1_2018-09-03,6
UA_Che_Var_1_2019-09-14,6
UA_Che_Var_1_2020-10-11,6
UA_Che_Var_1_2021-09-26,6
UA_Don_Mar_1_2021-08-23,6
UA_Don_Mar_2_2021-08-23,6
UA_Don_Roz_1_2021-08-12,6
UA_Kha_Kha_1_2014-07-26,6
UA_Kha_Kha_1_2014-09-14,6
UA_Kha_Kha_1_2015-08-20,6
UA_Kha_Kha_1_2016-08-18,7
UA_Kha_Kha_1_2018-09-24,6
UA_Kha_Kha_1_2021-08-18,6
UA_Kie_Cho_1_2014-09-13,6
UA_Kie_Cho_1_2015-06-15,14
UA_Kie_Cho_1_2015-07-07,7
UA_Kie_Cho_1_2015-08-20,6
UA_Kie_Cho_1_2015-08-26,7
UA_Kie_Cho_1_2016-09-04,7
UA_Kie_Cho_1_2016-09-05,7
UA_Kie_Cho_1_2019-09-06,6
UA_Kie_Cho_2_2014-09-13,6
UA_Kie_Cho_2_2015-08-26,7
UA_Kie_Cho_2_2016-09-04,7
UA_Kie_Cho_3_2014-09-13,6
UA_Kie_Cho_3_2015-08-26,7
UA_Kie_Cho_4_2014-09-13,6
UA_Kie_Cho_4_2015-08-26,6
UA_Kie_Cho_5_2015-08-26,7
UA_Kie_Cho_6_2015-08-26,6
UA_Kie_Hle_1_2021-08-29,6
UA_Kie_Kho_1_2021-08-09,6
UA_Kie_Kop_1_2019-09-06,6
UA_Kie_Kyi_1_2014-08-09,0
UA_Kie_Kyi_1_2014-09-08,0
UA_Kie_Kyi_1_2014-10-11,14
UA_Kie_Kyi_1_2015-08-10,7
UA_Kie_Kyi_1_2016-08-06,7
UA_Kie_Kyi_1_2016-09-04,7
UA_Kie_Kyi_1_2016-10-03,7
UA_Kie_Kyi_1_2020-09-29,6
UA_Kie_Pri_1_2016-09-03,7
UA_Kie_Vys_1_2017-08-11,14
UA_Kie_Vys_1_2017-09-03,6
UA_Kie_Vys_1_2017-09-26,6
UA_Kie_Vys_1_2017-10-19,6
UA_Kie_Vys_1_2018-07-25,6
UA_Kie_Vys_1_2018-08-29,14
UA_Kie_Vys_1_2018-09-27,6
UA_Kie_Vys_1_2019-08-12,6
UA_Kie_Vys_1_2019-09-02,14
UA_Kie_Vys_1_2020-08-18,6
UA_Kie_Vys_1_2020-10-15,6
UA_Kie_Vys_1_2021-08-01,6
UA_Kie_Vys_1_2021-09-19,6
UA_Lvi_Dro_1_2014-08-24,14
UA_Lvi_Dro_1_2015-09-18,14
UA_Lvi_Dro_1_2016-09-12,7
UA_Myk_Ryb_1_2021-07-22,6
UA_Ode_Ode_1_2013-05-16,6
UA_Ode_Ode_1_2013-10-15,6
UA_Ode_Ode_1_2014-07-03,14
UA_Ode_Ode_1_2014-07-22,14
UA_Ode_Ode_1_2014-08-29,14
UA_Ode_Ode_1_2014-10-10,6
UA_Ode_Ode_1_2015-06-30,14
UA_Ode_Ode_1_2015-07-26,7
UA_Ode_Ode_1_2015-08-27,14
UA_Ode_Ode_1_2015-09-26,6
UA_Ode_Ode_1_2016-08-20,7
UA_Ode_Ode_1_2016-09-15,7
UA_Ode_Ode_1_2017-08-12,14
UA_Ode_Ode_1_2017-09-23,6
UA_Ode_Ode_1_2018-06-30,14
UA_Ode_Ode_1_2018-08-15,6
UA_Ode_Ode_1_2018-09-15,6
UA_Ode_Ode_1_2019-09-06,6
UA_Ode_Ode_1_2020-08-28,14
UA_Ode_Ode_1_2020-09-26,14
UA_Ode_Ode_1_2020-09-28,14
UA_Ode_Ode_1_2020-10-30,6
UA_Ode_Ode_1_2021-11-11,14
UA_Pol_Pyr_1_2014-08-20,6
UA_Pol_Pyr_1_2015-08-26,6
UA_Pol_Pyr_1_2017-08-22,6
UA_Pol_Pyr_1_2017-09-03,6
UA_Pol_Pyr_1_2019-08-25,6
UA_Pol_Pyr_1_2019-09-06,6
UA_Pol_Pyr_1_2021-07-29,6
UA_Vol_Lut_1_2019-08-28,6
UA_Zap_Zap_1_2019-06-17,6
