sampleId,ParticipantId,collectionStart,collectionEnd,Lat,Long,EnoughMel: 34,melanogaster,simulans,mel/sim_female,suzukii,busckii,testacea,others,other,bait,location,DNAextraction,Note,Note,Note,Note,Note,Note,Note,Note,Note,Note,Note,Note,Note,Note,Note,Note,Note
VCFC_014,VCF24A010,24-06-2024,01-07-2024,48.1525687,16.3701174,0,11,4,14,5 w,2,,23. immigrans. 22 repleta gr,,banana,,,No.2,,,,,,,,,,,,,,,,
VCFC_015,VCF24A084,20-06-2024,02-07-2024,48.29387095,16.295270350000003,0,1,,,,,,4 repleta-Gruppe,,banana ,,,,,,,,,,,,,,,,,,,
VCFC_016,VCF24A096,01-07-2024,04-07-2024,48.179084,16.281316,0,,,,,,,~30 repleta-Gruppe,,banana,,,,,,,,,,,,,,,,,,,
VCFC_017,VCF24A119,30-06-2024,05-07-2024,48.1925638,16.3639217,0,1,,,,,,"~15 repleta, 1?",,?,,,,,,,,,,,,,,,,,,,
VCFC_018,VCF24A030,06-07-2024,06-07-2024,48.1882827,16.3054565,1,33,,,14m,,,,~10,,,,,,,,,,,,,,,,,,,,
VCFC_019,VCF24A049,02-07-2024,08-07-2024,48.22026015,16.38459645351064,0,,,,,,,repleta>100. ßß>10,,banana,,,,,,,,,,,,,,,,,,,
VCFC_020,VCF24A010,01-07-2024,08-07-2024,48.1525687,16.3701174,1,20,,11,,,,10 immigrans. 15 divers,,banana,,,No.1,,,,,,,,,,,,,,,,
VCFC_021,VCF24A054,30-06-2024,05-07-2024,48.238611,16.38297,0,3,,7,,,,">50 repleta??, 15??",,banana,,,,,,,,,,,,,,,,,,,
VCFC_022,VCF24A071,02-07-2024,08-07-2024,48.194892,16.282509,0,mel/sim 3m,,1,,,,>50 repleta?,,banana,,,,,,,,,,,,,,,,,,,
VCFC_023,VCF24A005,26-06-2024,08-07-2024,48.202186,16.295935,0,,,,,,,27 repleta,,banana,,,,,2 repleta entnommen zum sequenzieren,,,,,,,,,,,,,,
VCFC_024,VCF24A020,05-07-2024,08-07-2024,48.2097492,16.3139526,0,,,,,,,repleta Gruppe 21. 16. >40,6 ?? confusa?. 1 cf Dmel w,banana,,,,,,,,,,,,,,,,,,,
VCFC_025,VCF24M009,02-07-2024,09-07-2024,48.1820617,16.5031151,0,7,,9,,,,ca 90 divers. 4 immigrans,,banana,carwash,,,,,,,,,,,,,,,,,,
VCFC_025#2,VCF24M009,,,48.1820617,16.5031151,0,7,"5m, 9w(mel/sim)",,,,,1?,,,,,,,,,,,,,,,,,,,,,
VCFC_026,VCF24A003,05-07-2024,09-07-2024,48.24752,16.439,0,,,,,,,,,banana,,,,,,,,,,,,,,,,,,,
VCFC_027,VCF24A100,02-07-2024,09-07-2024,48.193077,16.316525,0,12,,12,,,,ca 50 repleta,,banana,balcony,,,,,,,,,,,,,,,,,,
VCFC_028,VCF24A100,02-07-2024,09-07-2024,48.193077,16.316525,0,,,,,,,31 repleta,,,,,,,,,,,,,,,,,,,,,
VCFC_029,VCF24A010,08.07.2024,11-07-2024,48.1525687,16.3701174,1,22,,15,,1,,repleta-Gruppa 8,immigrans 3. ?? 3,banana,,,,,,,,,,,,,,,,,,,
VCFC_030,VCF24A010,09-07-2024,11-07-2024,48.1525687,16.3701174,0,6,,6,"2m,2w",,,,,banana,,,,,,,,,,,,,,,,,,,
VCFC_031,VCF24A005,05-07-2024,12-07-2024,48.202186,16.295935,0,,,,,,,36 repleta,,banana,,,,,,,,,,,,,,,,,,,
VCFC_032,VCF24A009,08-07-2024,11-07-2024,48.4338949,16.47867438604694,0,,,9,,1,,"28 repleta, 2?",,banana,,,,,ein ? entnommen zum sequenzieren,,,,,,,,,,,,,,
VCFC_033,VCF24A054,05-07-2024,12-07-2024,48.238611,16.38297,0,3,,3,,,,repleta > 50,,,,,,,,,,,,,,,,,,,,,
VCFC_034,VCF24A124,05-07-2024,14-07-2024,48.1895931,16.2977181,0,,,1,,,,repleta > 40,,apricot,,,,,,,,,,,,,,,,,,,
VCFC_035,VCF24A055,03-07-2024,11-07-2024,48.26137,16.384091,1,30,,>50,,,,repleta 12. 1 schmeißfliege,,,,,,,,,,,,,,,,,,,,,
VCFC_036,VCF24A095,10-07-2024,14-07-2024,48.1951118,16.2876311,1,30,,35,,,,100 repleta Gr,1?? ,banana. blueberry,,,,,,,,,,,,,,,,,,,
VCFC_037,VCF24A010,11-07-2024,15-07-2024,48.1525687,16.3701174,1,15,,>10,,,,"2 mercart?, 10 repleta, 5 D. cf funebris",1??,banana,,,,,1 cf funebris entnommen zum Sequenzieren,,,,,,,,,,,,,,
VCFC_038,VCF24A010,11-07-2024,15-07-2024,48.1525687,16.3701174,0,mel/sim  10m,,9,4,,,1 immigrans,,banana,,,,,,,,,,,,,,,,,,,
VCFC_039,VCF24A016,08-07-2024,15-07-2024,48.29798735,16.419420766413552,1,15,,>40,,,,repleta 11,,banana,,,,,,,,,,,,,,,,,,,
VCFC_040,VCF24A133,09-07-2024,15-07-2024,48.2450494,16.3722084,1,19,,3,,,,repleta > 30,,banana,,,,,,,,,,,,,,,,,,,
VCFC_041,VCF24A014,10-07-2024,17-07-2024,48.252675,16.338313,0,,,,,,,"12 repleta, 1?",,,,,,,,,,,,,,,,,,,,,
VCFC_042,VCF24A010,15-07-2024,17-07-2024,48.1525687,16.3701174,0,mel/sim 4m,,11,,,,7 repleta,,,,,nr1,,,,,,,,,,,,,,,,
VCFC_043,VCF24A010,15-07-2024,17-07-2024,48.1525687,16.3701174,0,mel/sim 5m,,6,2w,,,"1 immigrans, 2?, 9 Ectobiidae (weggeworfen), 5 Nitidulidae (Glanzkäfer)",,,,,nr2,,,,,,,,,,,,,,,,
VCFC_044,VCF24A003,15-07-2024,22-07-2024,48.24752,16.439,0,mel/sim 2m,,1,,,,20 repleta,,lemon,,,,,,,,,,,,,,,,,,,
VCFC_045,VCF24A031,18-07-2024,22-07-2024,48.2096648,16.3375929,1,29,,>30,,,,"2??, 18 repleta Gr.1, 10 repleta Gr. 2 ",,banana,,,,,1 replete zum Sequenzieren,,,,,,,,,,,,,,
VCFC_046,VCF24A133,17-07-2024,22-07-2024,48.2450494,16.3722084,1,16,,6,2,,,repleta 30,1??,banana,,,,,,,,,,,,,,,,,,,
VCFC_047,VCF24A006,19-07-2024,22-07-2024,48.232858,16.290515,0,7,,17,,,,repleta 12,,,,,,,,,,,,,,,,,,,,,
VCFC_048,VCF24A071,12-07-2024,18-07-2024,48.194892,16.282509,0,8,,6,,,,repleta 10,1??,,,,,,,,,,,,,,,,,,,,
VCFC_049,VCF24A106,11-07-2024,18-07-2024,48.180312,16.387895,0,1,,,,,,repleta/hydei >50,1??,,,,,,,,,,,,,,,,,,,,
VCFC_050,VCF24A010,17-07-2024,22-07-2024,48.1525687,16.3701174,1,44,1,44,,,,"5 c.f. mercatorum, 5?",,,,,nr1,,,,,,,,,,,,,,,,
VCFC_051,VCF24A010,17-07-2024,22-07-2024,48.1525687,16.3701174,0,mel/sim 2m,,12,"18m, 20w",,,"5 repleta, 3?, 1 immigrans",,,,,nr2,,,,,,,,,,,,,,,,
VCFC_052,VCF24A135,16-07-2024,22-07-2024,48.2520897,16.43862778,0,mel/sim 3m,,3,,,,13 repleta,,,,,,,,,,,,,,,,,,,,,
VCFC_053,VCF24A004,16-07-2024,22-07-2024,48.226805999999996,16.164931898476908,0,mel/sim 1m,,,,,,22 repleta,,,,,,,,,,,,,,,,,,,,,
VCFC_054,VCF24A054,12-07-2024,17-07-2024,48.238611,16.38297,1,20,,12,,,,"2 c.f. REPLETA, 23 c.f. mercatorum, 1?, 1?",,"apple, lemon",,,,,,,,,,,,,,,,,,,
VCFC_055,VCF24A003,28-06-2024,08-07-2024,48.24752,16.439,0,mel/sim 1m,,1,,,,"1 repleta, 1?",,,,,,,,,,,,,,,,,,,,,
VCFC_056,VCF24A001,14-07-2024,16-07-2024,48.2909924,16.3305821,0,6,,10,,,,"repleta > 50, 4 ??",immigrans 1,,,,,,,,,,,,,,,,,,,,
VCFC_057,VCF24A137,22-07-2024,22-07-2024,48.2247254,16.38306948,1,46,,27,,,,repleta > 100,1?,,,,,,,,,,,,,,,,,,,,
VCFC_058,VCF24A132,23-07-2024,23-07-2024,48.1938088,16.3432726,0,3,,6,,,,1 repleta,,,,,"Greinertube mit 064 angeschrieben, 064 hat aber schon Daten, Auf Zettel in Tube steht zwar die Participantid von 064 aber auch VCFC058, daher trage ich die Daten mal hier ein. Säckchen wurde mit 058 beschriftet. 058 Tube existiert auch...",,,,,,,,,,,,,,,,
VCFC_059,VCF24A014,17-07-2024,24-0-2024,48.252675,16.338313,0,,,,,,,20 repleta,1 immigrans w.,,,,,,,,,,,,,,,,,,,,
VCFC_060,VCF24A053,21-07-2024,25-07-2024,48.10110745,16.300121912227425,1,17,,6,,,,21 repleta ,"1 immigrans w, ",,,,,,,,,,,,,,,,,,,,
VCFC_061,VCF24A055,20-07-2024,24-07-2024,48.26137,16.384091,0,mel/sim 8m,,3,1w,,,"5 repleta, 4?",,,,,,,,,,,,,,,,,,,,,
VCFC_062,VCF24A071,20-07-2024,25-07-2024,48.194892,16.282509,1,28,,17,,,,30 repleta,,,,,"Zentrifugenröhrchen in Säckchen mit 26 angeschrieben, 26 fehlt zufälligerweise",,,,,,,,,,,,,,,,
VCFC_063,VCF24A054,18-07-2024,24-07-2024,48.238611,16.38297,1,23,,18,,,,>30 repleta,,,,,,,,,,,,,,,,,,,,,
VCFC_064,VCF24A132,23-07-2024,23-07-2024,48.1938088,16.3432726,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCFC_065,VCF24A085,27-06-2024,25-07-2024,48.2236766,16.3742674,0,6,,14,,,,9 repleta,,,,,,,,,,,,,,,,,,,,,
VCFC_066,VCF24A129,20-07-2024,25-07-2024,48.2217373,16.3723924,0,4,,7,,,,50 repleta,,banana,,,,,,,,,,,,,,,,,,,
VCFC_067,VCF24A061,20-07-2024,26-07-2024,48.262432,16.427556,0,,,,,,,1 repleta,,lemon,,,,,,,,,,,,,,,,,,,
VCFC_068,VCF24A001,?,26-07-2024,48.2909924,16.3305821,0,3,,8,,,,34 repleta,,,,,,,,,,,,,,,,,,,,,
VCFC_069,VCF24A132,?,27-07-2024,48.1938088,16.3432726,0,mel/sim 9m,,8,,,,"7 repleta, 2?",,,,,"Mittelgasse 7/8, 1060 Wien",,ein ? entnommen zum sequenzieren,,,,,,,,,,,,,,
VCFC_070,?,?,?,#N/A,#N/A,0,,,,,,,,,aprikot?,,,,,,,,,,,,,,,,,,,
VCFC_071,VCF24A022,19-07-2024,28-07-2024,48.211826,16.392461,0,,,,,,,,,plum?,,,Id steht so auf dem Zettel...,,,,,,,,,,,,,,,,
VCFC_072,VCF24A141,26-07-2024,28-07-2024,48.215696,16.389651,0,mel/sim 1m,,,,,,23 repleta,,,,,,,,,,,,,,,,,,,,,
VCFC_073,VCF24A010,22-07-2024,29-07-2024,48.1525687,16.3701174,0,,,,"16m, 29w",,,"1 repleta, 2?, 2 kuntzei?, 2 immigrans",,,,,Nr. 2,,,,,,,,,,,,,,,,
VCFC_074,VCF24A010,22-07-2024,29-07-2024,48.1525687,16.3701174,0,mel/sim 6m,,9,,,,"13 repleta, 3?",,,,,Nr. 1,,,,,,,,,,,,,,,,
VCFC_075,VCF24A142,24-07-2024,30-07-2024,48.251925,16.320591,0,mel/sim 1w,,,,,,">200 c.f. mercatorum, 15 c.f. REPLETA",,strawberry,,,Nr. 2,,,,,,,,,,,,,,,,
VCFC_076,VCF24A142,24-07-2024,30-07-2024,48.251925,16.320591,0,,,,,,,>120 repleta,,strawberry,,,Nr. 1,,,,,,,,,,,,,,,,
VCFC_077,?,22-07-2024,27-07-2024,#N/A,#N/A,0,mel/sim 9m,,9,,,,,,,,,"Falle aus dem Burgenland, Langegasse 41, 7061 Trausdorf",,,,,,,,,,,,,,,,
VCFC_078,VCF24A149,?,01-08-2024,48.165943,16.324441,0,,,,,,,"3 c.f. mercatorum, 3 c.f. REPLETA",,"banana, red currant",,,Abgabe: 01-08-2024,,"Erwin Nindl, Am Kabelwerk 5, 1120 Wien, 3. Stock",,,,,,,,,,,,,,
VCFC_079,VCF24A149,?,01-08-2024,48.165943,16.324441,0,2,,,,,,"3 c.f. mercatorum, 9 c.f. REPLETA",,red currant,,,Abgabe: 01-08-2024,,"Erwin Nindl, Am Kabelwerk 5, 1120 Wien, 3. Stock",,,,,,,,,,,,,,
VCFC_080,VCF24A004,31-07-2024,31-07-2024,48.226805999999996,16.164931898476908,1,18,,18,,,,40 c.f. mercatorum,,,,,Lisi-Falle,,,,,,,,,,,,,,,,
VCFC_081,VCF24A133,23-07-2024,31-07-2024,48.2450494,16.3722084,0,,,,,,,"7 c.f. hydei, 22 c.f. REPLETA, 20 c.f. mercatorum",,,,,"eingetrocknet, REPLETA und hydei fast nicht zu unterscheiden, versucht am ersten Costalabschnitt zu bestimmen",,,,,,,,,,,,,,,,
VCFC_082,VCF24A035,18-07-2024,24-07-2024,48.1564925,16.283393810137852,0,9,15,9,"6m, 1w",,1,1 subobscura,,,,,Garten 1,,,,,,,,,,,,,,,,
VCFC_083,VCF24A035,18-07-2024,24-07-2024,48.1564925,16.283393810137852,1,22,,35,,,,"2 c.f. REPLETA, 8 c.f. hydei, 1 c.f. mercatorum",,,,,Haus 1,,,,,,,,,,,,,,,,
VCFC_084,VCF24A035,25-07-2024,30-07-2024,48.1564925,16.283393810137852,0,mel/sim 5m,,1,3w,,,,,,,,Garten 2,,,,,,,,,,,,,,,,
VCFC_085,VCF24A035,25-07-2024,31-07-2024,48.1564925,16.283393810137852,1,26,,24,,,,"2?, 1 c.f. hydei, 4 c.f. mercatorum",,,,,Haus 2,,Analplatte mancher mel/sim weibchen sehr dunkel,,,,,,,,,,,,,,
VCFC_086,VCF24A014,24-07-2024,31-07-2024,48.252675,16.338313,1,19,,14,,,,"12 c.f. mercatorum, 7 c.f. hydei, 1 c.f. REPLETA",,,,,,,,,,,,,,,,,,,,,
VCFC_087,VCF24A142,31-07-2024,31-07-2024,48.251925,16.320591,0,,,,,,,,,strawberry,,,,,,,,,,,,,,,,,,,
VCFC_088,VCF24A144,25-07-2024,01-08-2024,48.196621,16.391428,0,,,,,,,"1 c.f. REPLETA, 120 c.f. mercatorum",,,,,1030 (vermutlich PLZ),,,,,,,,,,,,,,,,
VCFC_089,VCF24A146,30-07-2024,02-08-2024,48.202099,16.343202,0,mel/sim 13m,,16,,,,"2 c.f. REPLETA, 1 c.f. hydei, 7 mercatorum, 1?",,,,,"Dearing, Schottenfeldgasse 2-4, Stiege 2, 2. Stock, 1070 Wien",,,,? hat stark ausgeprägte Dornen am Vorderbein,,,,,,,,,,,,
VCFC_090,VCF24A054,29-07-2024,04-08-2024,48.238611,16.38297,0,mel/sim 1m,,,,,,"22 c.f. mercatorum, 20 c.f. REPLETA",,,,,"eingetrocknet, REPLETA und hydei fast nicht zu unterscheiden, versucht am ersten Costalabschnitt zu bestimmen",,,,,,,,,,,,,,,,
VCFC_091,VCF24A055,29-07-2024,03-08-2024,48.26137,16.384091,0,mel/sim 8m,,17,,,,"7 c.f. mercatorum, 1 c.f. hydei , 2?",,,,,,,,,,,,,,,,,,,,,
VCFC_092,VCF24A150,?,?,48.204611,16.267526,0,mel/sim 4m,,4,,,,"2 c.f. mercatorum, 19 c.f. hydei, 1?",,,,,"Ulrich Laun, 0680 3111225, An der Niederhand 24, 1140 Wien",,,,"Outdoor, neben Biotonne, Nähe Dehne Park, Abgabe 02-08-2024",,,,,"1 mercatorum, hydei und ? entnommen zum sequenzieren",,,,,,,
VCFC_093,VCF24A124,?,?,48.1895931,16.2977181,0,mel/sim 3m,,1,,,,"1 funebris, 11 c.f. REPLETA, 17 c.f. mercatorum #1, 28 c.f. mercatorum #2",,,,,Abgabe 05-08-2024,,,,,,,,,,,,,,,,
VCFC_094,VCF24A084,29-07-2024,05-08-2024,48.29387095,16.295270350000003,1,18,2,23,,3,,"1 c.f. hydei, 2 c.f. REPLETA, 5 c.fc mercatorum",,lemon,,,,,,,,,,,,,,,,,,,
VCFC_095,VCF24A004,03-08-2024,05-08-2024,48.226805999999996,16.164931898476908,0,mel/sim 1m,,7,,,,"2 REPLETA, 22 c.f. mercatorum",,lemon,,,,,,,,,,,,,,,,,,,
VCFC_096,VCF24A022,29-07-2024,05-08-2024,48.211826,16.392461,1,27,,13,,,,"1 REPLETA, 8 c.f. mercatorum",,banana,,,,,,,,,,,,,,,,,,,
VCFC_097,VCF24A149,07-08-2024,08-08-2024,48.165943,16.324441,0,mel/sim 1m,,1,,,,"3 c.f. mercatorum, 1?",,banana,,,Abgabe: 08-08-2024,,"Erwin Nindl, Am Kabelwerk 5, 1120 Wien, 3. Stock",,,,,,,,,,,,,,
VCFC_098,VCF24A051,31-07-2024,07-08-2024,48.2389401,16.3107359,0,mel/sim 2m,,,,,,43 c.f. mercatorum,,banana,,,1180,,"Einige stark orange gefärbt, Augen ebenfalls tiefrot",,,,,,,,,,,,,,
VCFC_099,VCF24A141,04-08-2024,07-08-2024,48.215696,16.389651,0,mel/sim 1m,,1,,,,"1 c.f. funebris, 6 c.f. REPLETA, 29 c.f. mercatorum",,banana,,,,,,,,,,,,,,,,,,,
VCFC_100,VCF24A129,02-08-2024,08-08-2024,48.2217373,16.3723924,1,61,,14,,,,"1 c.f. hydei, 2?, 54 c.f. mercatorum, 19 c.f. REPLETA, ",,banana,,,,,,,,,,,,,,,,,,,
VCFC_101,VCF24A133,30-07-2024,09-08-2024,48.2450494,16.3722084,0,,,,2w,,,"11 c.f. mercatorum, 25 c.f. hydei, 38 c.f. REPLETA",,,,,"eingetrocknet, REPLETA und hydei fast nicht zu unterscheiden, versucht am ersten Costalabschnitt zu bestimmen",,,,,,,,,,,,,,,,
VCFC_102,VCF24A135,04-08-2024,09-08-2024,48.2520897,16.43862778,0,1,,1,,,,5 c.f. mercatorum,,,,,,,,,,,,,,,,,,,,,
VCFC_103,VCF24A004,08-08-2024,08-08-2024,48.226805999999996,16.164931898476908,0,,,9,,,,1 funebris,,,,,,,,,,,,,,,,,,,,,
VCFC_104,VCF24A035,01-08-2024,07-08-2024,48.1564925,16.283393810137852,1,33,27,13,"4m, 3w",,,,,,,,Garten 3,,,,,,,,,,,,,,,,
VCFC_105,VCF24A035,01-08-2024,07-08-2024,48.1564925,16.283393810137852,1,23,,13,,1,,"1 c.f. hydei, 5 c.f. mercatorum",,,,,Haus 3,,,,,,,,,,,,,,,,
VCFC_106,VCF24A035,08-08-2024,11-08-2024,48.1564925,16.283393810137852,1,18,,7,,,,"2 c.f. phalerata, 4 immigrans",,,,,Garten 4,1 phalerata entnommen zum sequenzieren,,,,,,,,,,,,,,,
VCFC_107,VCF24A035,08-08-2024,11-08-2024,48.1564925,16.283393810137852,1,36,1,50,,,,"5 c.f. mercatorum, 2 c.f. hydei, 1?",,,,,Haus 4,,,,,,,,,,,,,,,,
VCFC_108,VCF24A001,10-08-2024,10-08-2024,48.2909924,16.3305821,1,20,3,25,,,,"1 c.f. Megaselia, 23 c.f. mercatorum, 5 c.f. hydei",,,,,,,,,,,,,,,,,,,,,
VCFC_109,VCF24A040,12-08-2024,12-08-2024,48.16463525,16.298943729727945,0,11,,13,,,,"2 c.f. hydei, 4 c.f. REPLETA, 1 c.f. mercatorum",,,,,,,,,,,,,,,,,,,,,
VCFC_110,VCF24A106,30-07-2024,12-08-2024,48.180312,16.387895,1,40,,44,,,,"1 c.f. funebris, 4 c.f. mercatorum, 3 c.f. REPLETA, 28 c.f. hydei",,Saft (handle with caution!!!),,,,,,,,,,,,,,,,,,,
VCFC_111,VCF24A151,12-07-2024,12-07-2024,48.1994451,16.3496835,0,5,,3,,,,"1 c.f. funebris, 5 c.f. hydei, 1?, 73 c.f. REPLETA, >150 c.f. mercatorum",,banana,,,,,,,,,,,,,,,,,,,
VCFC_112,VCF24A001,12-08-2024,12-08-2024,48.2909924,16.3305821,0,5,2,9,,,,"1 c.f. hydei, 28 c.f. mercatorum",,,,,,,,,,,,,,,,,,,,,
VCFC_113,?,?,?,#N/A,#N/A,1,30,,24,,,,,,,,,Abgabe: 12-08-2024,,,,,,,,,,,,,,,,
VCFC_114,VCF24A084,13-08-2024,13-08-2024,48.29387095,16.295270350000003,1,20,,19,,,,"1 c.f. hydei, 13 c.f. mercatorum",,,,,Augen einer mel/sim w und einer mercatorum weiß,,,,,,,,,,,,,,,,
VCFC_115,VCF24A067,13-07-2024,26-07-2024,48.296142,16.564001,0,,,,,,,,,,,,Falle 1,,,,,,,,,,,,,,,,
VCFC_116,VCF24A067,29-07-2024,12-08-2024,48.296142,16.564001,0,,,,,,,1 c.f. mercatorum,,,,,Falle 2,,,,,,,,,,,,,,,,
VCFC_117,VCF24A004,13-08-2024,13-08-2024,48.226805999999996,16.164931898476908,0,1,,2,,,,"1 c.f. REPLETA, 3 c.f. mercatorum",,,,,,,,,,,,,,,,,,,,,
VCFC_118,VCF24A014,02-08-2024,13-08-2024,48.252675,16.338313,0,,,,,,,"3 c.f. mercatorum, 1 c.f. REPLETA, 1? ",,,,,,,,,,,,,,,,,,,,,
VCFC_119,VCF24A125,30-07-2024,01-08-2024,48.229845,16.354887,0,11,,9,,,,"6 c.f. REPLETA, 31 c.f. mercatorum",,,,,"1090, Rufgasse 4",,,,,,,,,,,,,,,,
VCFC_120,VCF24A019,05-08-2024,13-08-2024,48.2072188,16.375974405836836,0,,,,,,,"1 c.f. REPLETA, 6 c.f. mercatorum",,,,,,,,,,,,,,,,,,,,,
VCFC_121,VCF24A148,01-08-2024,12-08-2024,48.211029,16.377193,1,49,,50,,,,"9 c.f. hydei, 8 c.f. mercatorum, 52 c.f. REPLRTA",,,,,sehr trocken,,,,,,,,,,,,,,,,
VCFC_122,VCF24A071,08-08-2024,16-08-2024,48.194892,16.282509,0,7,,7,,,,"12 c.f. mercatorum, 3 c.f. hydei, 10 c.f. REPLETA",,banana,,,trocken,,,,,,,,,,,,,,,,
VCFC_123,VCF24A149,10-08-2024,14-07-2024,48.165943,16.324441,0,,,,,,,"4 c.f. mercatorum, 2 c.f. REPLETA",,banana,,,,,,,,,,,,,,,,,,,
VCFC_124,VCF24A030,11-08-2024,18-08-2024,48.1882827,16.3054565,0,,,,,,,,,banana,,,,,,,,,,,,,,,,,,,
VCFC_125,VCF24A084,13-08-2024,18-08-2024,48.29387095,16.295270350000003,0,8,,9,,,,"6 c.f. hydei, 14 c.f. mercatorum",,,,,,,,,,,,,,,,,,,,,
VCFC_126,VCF24A142,01-08-2024,14-08-2024,48.251925,16.320591,0,,,,,,,,,banana,,,,,,,,,,,,,,,,,,,
VCFC_127,VCF24A008,12-08-2024,19-08-2024,48.2103138,16.3263737,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCFC_128,VCF24A009,13-08-2024,18-08-2024,48.4338949,16.47867438604694,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCFC_129,VCF24A133,12-08-2024,19-08-2024,48.2450494,16.3722084,0,,,,,,,,,banana,,,,,,,,,,,,,,,,,,,
VCFC_130,VCF24A056,16-08-2024,19-08-2024,48.2022743,16.34718763224349,0,,,,,,,,,lemon,,,,,,,,,,,,,,,,,,,
VCFC_131,VCF24A049,15-07-2024,22-07-2024,48.22026015,16.38459645351064,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCFC_131#2,VCF24A049,?,?,46.7132072,11.664763,0,,,,,,,,,,,,"Köstlanerstraße 26, 39042 Brixen",,,,,,,,,,,,,,,,
VCFC_131#3,VCF24A049,?,?,48.1149444,11.5832909,0,,,,,,,,,,,,"Werinherstraße 20, 81541 München",,,,,,,,,,,,,,,,
VCFC_132,VCF24A142,14-08-2024,20-08-2024,48.251925,16.320591,0,,,,,,,,,banana,,,,,,,,,,,,,,,,,,,
VCFC_133,VCF24A014,14-08-2024,20-08-2024,48.252675,16.338313,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCFC_134,VCF24A084,19-08-2024,19-08-2024,48.29387095,16.295270350000003,0,,,,,,,,,"lemon, tomatoes",,,,,,,,,,,,,,,,,,,
VCFC_135,VCF24A102,31-07-2024,18-08-2024,48.161427,16.377245,0,,,,,,,1 c.f. mercatorum,,apple,,,,,,,,,,,,,,,,,,,
VCFC_136,VCF24A003,13-08-2024,21-08-2024,48.24752,16.439,0,,,1,,,,"1 c.f. REPLETA, 1 Platanen-Netzwanze",,raspberry,,,,,,,,,,,,,,,,,,,
VCFC_137,VCF24A040,?,21-08-2024,48.16463525,16.298943729727945,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCFC_138,?,?,20-08-2024,#N/A,#N/A,0,,,,,,,"1 c.f. REPLETA, 4 c.f. mercatorum",,,,,"S. Agnezy, Arnettgasse 77, 1160 Wien",,,,,,,,,,,,,,,,
VCFC_139,VCF24A129,18-08-2024,21-08-2024,48.2217373,16.3723924,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCFC_140,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCFC_141,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
